tld,url,2008,2016,2020,depth,fromedgi
epa.gov,http://www.epa.gov:80/pcbs,20080908080145,20160228025448,20200101044433,high,TRUE
epa.gov,http://www.epa.gov/pesp/,20080719224734,20160413201332,20200102045558,high,TRUE
epa.gov,http://www.epa.gov:80/pesticides/,20080110203014,20160101193455,20200101034555,high,TRUE
epa.gov,http://www.epa.gov:80/pesticides/biopesticides,20080111161445,20160115004244,20200102043933,high,TRUE
epa.gov,http://www.epa.gov:80/privacy/,20081012135041,20160413081128,20200103054514,high,TRUE
epa.gov,http://www.epa.gov:80/privatewells/,20081201120500,20160111170242,20200101035458,high,TRUE
epa.gov,http://www.epa.gov/p2week/,20080904230830,20160229143042,20200126225626,high,TRUE
epa.gov,http://www.epa.gov:80/radon,20080920014042,20160103094638,20200101060246,high,TRUE
epa.gov,http://www.epa.gov/risk,20080821093206,20160224165646,20200101060154,high,TRUE
epa.gov,http://www.epa.gov:80/schools,20080211214136,20160111113445,20200101035029,high,TRUE
epa.gov,http://www.epa.gov:80/smartway/,20080513101937,20160112074353,20200101034543,high,TRUE
epa.gov,http://www.epa.gov:80/superfund/,20080131170048,20160102101427,20200101035053,high,TRUE
epa.gov,http://www.epa.gov:80/sustainability/,20080516112858,20160111235500,20200101152153,high,TRUE
epa.gov,http://www.epa.gov/tribal/,20081013043801,20160121014813,20200101034702,high,TRUE
